"Source","Min.same","Min.diff","Location","Strain","Isolate","state"
"water",1,20,"USA","RM19849","PDT001119652.1","CA"
"water",0,16,"USA","RM19852","PDT001119653.1","CA"
"water",4,23,"USA","RM19368","PDT001119654.1","CA"
"water",0,1,"USA","RM19850","PDT001119656.1","CA"
"water",1,14,"USA","RM19371","PDT001119659.1","CA"
"water",6,14,"USA","RM50498","PDT001119662.1","CA"
"water",10,20,"USA","RM19370","PDT001119663.1","CA"
"water",1,8,"USA","RM50487","PDT001119671.1","CA"
"water",10,13,"USA","RM19859","PDT001119674.2","CA"
"water",1,30,"USA","RM50496","PDT001119678.1","CA"
"water",1,19,"USA","RM19846","PDT001119679.1","CA"
"water",1,28,"USA","RM19375","PDT001119683.1","CA"
"water",1,3,"USA","RM19366","PDT001119689.1","CA"
"water",1,29,"USA","RM19374","PDT001119698.1","CA"
"water",4,6,"USA","RM19848","PDT001119699.1","CA"
"water",12,12,"USA","RM50491","PDT001119705.1","CA"
"water",0,31,"USA","RM50488","PDT001119706.1","CA"
"water",18,25,"USA","RM19897","PDT001119720.1","CA"
"water",3,26,"USA","RM19346","PDT001119725.1","CA"
"water",0,23,"USA","RM19879","PDT001119729.2","CA"
"water",4,11,"USA","RM19347","PDT001119730.1","CA"
"water",0,19,"USA","RM19902","PDT001119731.1","CA"
"water",7,23,"USA","RM19880","PDT001119736.2","CA"
"water",3,6,"USA","RM19864","PDT001119737.1","CA"
"water",6,20,"USA","RM19903","PDT001119738.1","CA"
"water",0,23,"USA","RM19350","PDT001119741.1","CA"
"water",22,11,"USA","RM19352","PDT001119742.1","CA"
"water",2,33,"USA","RM19348","PDT001119760.1","CA"
"water",2,3,"USA","RM19866","PDT001119761.1","CA"
"water",4,32,"USA","RM19357","PDT001119778.1","CA"
"water",9,23,"USA","RM19893","PDT001119785.1","CA"
"water",1,18,"USA","RM19891","PDT001119787.1","CA"
"water",2,21,"USA","RM19894","PDT001119796.1","CA"
"water",16,7,"USA","RM19354","PDT001119799.1","CA"
"water",0,2,"USA","RM19877","PDT001119810.1","CA"
"water",7,18,"USA","RM19349","PDT001119811.1","CA"
"water",11,12,"USA","RM19899","PDT001119813.1","CA"
"water",2,21,"USA","RM19843","PDT001119818.1","CA"
"water",0,19,"USA","RM19842","PDT001119820.1","CA"
"water",7,11,"USA","RM50489","PDT001119823.1","CA"
"water",6,5,"USA","RM19914","PDT001125787.1","CA"
"water",5,2,"USA","RM19860","PDT001125789.1","CA"
"water",0,5,"USA","RM19926","PDT001125790.1","CA"
"water",0,11,"USA","RM19873","PDT001125791.1","CA"
"water",13,12,"USA","RM19857","PDT001125792.1","CA"
"water",2,25,"USA","RM19863","PDT001125793.1","CA"
"water",12,25,"USA","RM19861","PDT001125794.1","CA"
"water",23,25,"USA","RM19856","PDT001125795.1","CA"
"water",0,19,"USA","RM19898","PDT001125797.1","CA"
"water",2,19,"USA","RM19862","PDT001125798.1","CA"
"fish",0,18,"USA","FDA130260-C002-004","PDT001140481.1","CA"
"fish",0,18,"USA","FDA130260-C002-003","PDT001140494.1","CA"
"fish",2,15,"USA","FDA130260-C002-002","PDT001140502.1","CA"
"dairy",0,17,"USA","WSDA88","PDT001144019.1","WA"
"beef",1,22,"USA","NMSU-SW0821-04","PDT001156664.1","TX"
"dairy",0,22,"USA","AG21-0157","PDT001147870.1","OH"
"dairy",0,22,"USA","AG21-0156","PDT001147871.1","OH"
"dairy",1,23,"USA","AG21-0155","PDT001147878.1","OH"
"beans",2,21,"USA","WSDA83","PDT001158080.4","WA"
"beans",1,23,"USA","WSDA73","PDT001158082.4","WA"
"beans",0,22,"USA","WSDA72","PDT001158083.4","WA"
"beans",0,22,"USA","WSDA81","PDT001158084.4","WA"
"beans",1,23,"USA","WSDA80","PDT001158085.4","WA"
"beans",0,22,"USA","WSDA79","PDT001158086.4","WA"
"beans",1,23,"USA","WSDA78","PDT001158087.4","WA"
"beans",0,22,"USA","WSDA77","PDT001158088.4","WA"
"beans",1,23,"USA","WSDA76","PDT001158089.4","WA"
"beans",0,22,"USA","WSDA75","PDT001158097.4","WA"
"beans",2,24,"USA","WSDA74","PDT001158098.4","WA"
"beans",2,21,"USA","WSDA84","PDT001158102.4","WA"
"fish",8,9,"USA","WSDA97","PDT001180037.1","WA"
"water",21,31,"USA","FM21-241","PDT001211522.1","RI"
"dairy",3,4,"USA","22-006932-1","PDT001264966.2","CT"
"dairy",0,1,"USA","22-006931-1","PDT001264974.2","CT"
"dairy",9,44,"USA","FDA1176096-S054-001","PDT001300307.1","MA"
"dairy",12,35,"USA","FDA1176096-S009-001","PDT001300311.1","MA"
"dairy",27,47,"USA","FDA1176096-S053-006","PDT001300317.1","MA"
"dairy",2,3,"USA","PNUSAL011023","PDT001104234.1","OK"
"dairy",0,1,"USA","PNUSAL011021","PDT001104235.1","OK"
"dairy",2,3,"USA","PNUSAL011028","PDT001104236.1","OK"
"dairy",0,1,"USA","PNUSAL011027","PDT001104238.1","OK"
"dairy",1,2,"USA","PNUSAL011029","PDT001104241.1","OK"
"dairy",2,5,"USA","PNUSAL011024","PDT001104242.1","OK"
"water",1,11,"USA","RM19713","PDT001120126.1","CA"
"water",0,2,"USA","RM18315","PDT001120127.1","CA"
"water",2,25,"USA","RM19717","PDT001120128.1","CA"
"water",3,24,"USA","RM18331","PDT001120129.1","CA"
"water",2,24,"USA","RM19715","PDT001120130.1","CA"
"water",1,17,"USA","RM19716","PDT001120132.1","CA"
"water",5,17,"USA","RM19724","PDT001120133.1","CA"
"water",6,8,"USA","RM19725","PDT001120134.1","CA"
"water",9,6,"USA","RM18325","PDT001120137.1","CA"
"water",25,17,"USA","RM19711","PDT001120138.1","CA"
"water",1,18,"USA","RM19728","PDT001120139.1","CA"
"water",10,15,"USA","RM19718","PDT001120140.1","CA"
"water",24,28,"USA","RM19720","PDT001120141.1","CA"
"water",7,7,"USA","RM19694","PDT001120144.1","CA"
"water",10,6,"USA","RM19727","PDT001120145.1","CA"
"water",22,11,"USA","RM19695","PDT001120146.1","CA"
"water",5,28,"USA","RM19692","PDT001120148.1","CA"
"water",1,16,"USA","RM19723","PDT001120151.1","CA"
"water",5,15,"USA","RM19329","PDT001120152.1","CA"
"water",6,23,"USA","RM19382","PDT001120153.1","CA"
"water",15,12,"USA","RM19381","PDT001120162.1","CA"
"water",2,19,"USA","RM19924","PDT001120170.1","CA"
"water",20,34,"USA","RM19710","PDT001120173.1","CA"
"water",2,14,"USA","RM19386","PDT001120174.1","CA"
"water",13,18,"USA","RM19693","PDT001120175.1","CA"
"water",3,27,"USA","RM19925","PDT001120176.1","CA"
"water",1,18,"USA","RM19714","PDT001120177.1","CA"
"water",1,2,"USA","RM19933","PDT001120178.1","CA"
"water",0,31,"USA","RM19385","PDT001120179.1","CA"
"water",7,19,"USA","RM19378","PDT001120180.1","CA"
"water",23,26,"USA","RM19377","PDT001120181.1","CA"
"water",0,17,"USA","RM19384","PDT001120183.1","CA"
"water",2,12,"USA","RM19383","PDT001120185.1","CA"
"water",5,7,"USA","RM19335","PDT001120186.1","CA"
"water",26,3,"USA","RM19379","PDT001120187.1","CA"
"water",0,16,"USA","RM19932","PDT001120192.1","CA"
"water",5,21,"USA","RM19397","PDT001120194.1","CA"
"water",0,22,"USA","RM19699","PDT001120196.1","CA"
"water",6,23,"USA","RM19700","PDT001120198.1","CA"
"water",1,1,"USA","RM19931","PDT001120199.1","CA"
"water",9,13,"USA","RM19380","PDT001120201.1","CA"
"water",1,16,"USA","RM19697","PDT001120207.1","CA"
"water",0,22,"USA","RM19705","PDT001120208.1","CA"
"water",0,23,"USA","RM19388","PDT001120210.1","CA"
"water",3,15,"USA","RM19702","PDT001120211.1","CA"
"water",0,7,"USA","RM19929","PDT001120212.1","CA"
"water",1,13,"USA","RM19394","PDT001120213.1","CA"
"water",0,20,"USA","RM19928","PDT001120214.1","CA"
"water",2,19,"USA","RM19927","PDT001120215.1","CA"
"water",5,22,"USA","RM19395","PDT001120216.1","CA"
"water",1,22,"USA","RM19704","PDT001120217.1","CA"
"water",0,17,"USA","RM19701","PDT001120218.1","CA"
"water",10,31,"USA","RM19393","PDT001120219.1","CA"
"water",0,7,"USA","RM19392","PDT001120220.1","CA"
"water",8,11,"USA","RM19391","PDT001120222.1","CA"
"water",0,35,"USA","RM19884","PDT001120225.1","CA"
"water",17,13,"USA","RM19673","PDT001120227.1","CA"
"water",10,13,"USA","RM19389","PDT001120228.1","CA"
"water",2,5,"USA","RM19921","PDT001120229.1","CA"
"water",11,11,"USA","RM19390","PDT001120230.1","CA"
"water",3,16,"USA","RM19839","PDT001120231.1","CA"
"water",25,26,"USA","RM19838","PDT001120232.1","CA"
"water",1,1,"USA","RM19923","PDT001120233.1","CA"
"water",4,11,"USA","RM19922","PDT001120234.1","CA"
"water",1,11,"USA","RM19707","PDT001120235.1","CA"
"water",1,16,"USA","RM19670","PDT001120236.1","CA"
"water",0,7,"USA","RM19709","PDT001120239.1","CA"
"water",25,24,"USA","RM19708","PDT001120240.1","CA"
"water",9,14,"USA","RM19919","PDT001120241.1","CA"
"water",1,10,"USA","RM19837","PDT001120242.1","CA"
"water",1,9,"USA","RM19675","PDT001120243.1","CA"
"water",25,32,"USA","RM19667","PDT001120244.1","CA"
"water",0,11,"USA","RM19676","PDT001120245.1","CA"
"water",0,1,"USA","RM19916","PDT001120246.1","CA"
"water",16,13,"USA","RM19668","PDT001120247.1","CA"
"water",14,11,"USA","RM19889","PDT001120248.1","CA"
"water",2,15,"USA","RM19840","PDT001120249.1","CA"
"water",0,23,"USA","RM19669","PDT001120250.1","CA"
"water",5,6,"USA","RM19671","PDT001120251.1","CA"
"water",2,3,"USA","RM19915","PDT001120252.1","CA"
"water",23,23,"USA","RM19684","PDT001120253.1","CA"
"water",4,17,"USA","RM19913","PDT001120254.1","CA"
"water",1,7,"USA","RM19683","PDT001120255.1","CA"
"water",0,14,"USA","RM19674","PDT001120256.1","CA"
"water",1,20,"USA","RM19836","PDT001120257.1","CA"
"water",4,10,"USA","RM19835","PDT001120258.1","CA"
"water",10,12,"USA","RM19685","PDT001120259.1","CA"
"water",23,17,"USA","RM19678","PDT001120260.1","CA"
"water",1,11,"USA","RM19687","PDT001120261.1","CA"
"water",8,30,"USA","RM19376","PDT001120262.1","CA"
"water",0,7,"USA","RM19682","PDT001120263.1","CA"
"water",0,11,"USA","RM19677","PDT001120265.1","CA"
"water",1,19,"USA","RM19680","PDT001120266.1","CA"
"water",14,13,"USA","RM19834","PDT001120267.1","CA"
"water",2,29,"USA","RM19679","PDT001120268.1","CA"
"water",3,26,"USA","RM19361","PDT001119879.1","CA"
"water",16,24,"USA","RM19872","PDT001119880.1","CA"
"water",0,16,"USA","RM19643","PDT001119886.1","CA"
"water",1,21,"USA","RM19639","PDT001119892.1","CA"
"water",1,25,"USA","RM19636","PDT001119893.1","CA"
"water",25,32,"USA","RM19641","PDT001119903.1","CA"
"water",5,17,"USA","RM19330","PDT001119908.1","CA"
"water",9,24,"USA","RM19640","PDT001119909.1","CA"
"water",11,30,"USA","RM19340","PDT001119914.1","CA"
"water",5,23,"USA","RM19637","PDT001119915.1","CA"
"water",2,15,"USA","RM19638","PDT001119917.1","CA"
"water",0,22,"USA","RM19337","PDT001119919.1","CA"
"water",12,36,"USA","RM19342","PDT001119927.1","CA"
"water",4,14,"USA","RM19339","PDT001119929.1","CA"
"water",0,28,"USA","RM19338","PDT001119935.1","CA"
"water",1,10,"USA","RM19332","PDT001119937.1","CA"
"water",1,20,"USA","RM19343","PDT001119945.1","CA"
"water",1,24,"USA","RM19646","PDT001119946.1","CA"
"water",0,20,"USA","RM19552","PDT001119951.1","CA"
"water",19,19,"USA","RM19855","PDT001119952.1","CA"
"water",2,28,"USA","RM19553","PDT001119953.1","CA"
"water",0,16,"USA","RM19886","PDT001119956.2","CA"
"water",0,35,"USA","RM19885","PDT001119959.2","CA"
"water",29,27,"USA","RM19896","PDT001119961.1","CA"
"water",0,20,"USA","RM19570","PDT001119965.1","CA"
"water",2,24,"USA","RM19546","PDT001119966.1","CA"
"water",4,6,"USA","RM19539","PDT001119967.1","CA"
"water",4,16,"USA","RM19545","PDT001119968.1","CA"
"water",14,15,"USA","RM19544","PDT001119969.1","CA"
"water",3,9,"USA","RM19540","PDT001119972.1","CA"
"water",0,5,"USA","RM19883","PDT001119973.1","CA"
"water",0,2,"USA","RM19547","PDT001119975.1","CA"
"water",1,17,"USA","RM19649","PDT001119978.1","CA"
"water",7,9,"USA","RM19550","PDT001119980.1","CA"
"water",5,18,"USA","RM19543","PDT001119981.1","CA"
"water",5,6,"USA","RM19878","PDT001119983.1","CA"
"water",27,26,"USA","RM19887","PDT001119984.1","CA"
"water",10,13,"USA","RM19647","PDT001119986.1","CA"
"water",1,17,"USA","RM19577","PDT001119988.1","CA"
"water",1,28,"USA","RM19562","PDT001119994.1","CA"
"water",5,13,"USA","RM19554","PDT001119996.1","CA"
"water",0,20,"USA","RM19536","PDT001119999.1","CA"
"water",5,22,"USA","RM19551","PDT001120001.1","CA"
"water",0,20,"USA","RM19534","PDT001120004.1","CA"
"water",1,3,"USA","RM19548","PDT001120007.1","CA"
"water",9,30,"USA","RM19535","PDT001120009.1","CA"
"water",3,28,"USA","RM19537","PDT001120010.1","CA"
"water",0,22,"USA","RM19572","PDT001120011.1","CA"
"water",2,7,"USA","RM19528","PDT001120012.1","CA"
"water",2,11,"USA","RM19532","PDT001120013.1","CA"
"water",0,10,"USA","RM19576","PDT001120015.1","CA"
"water",11,18,"USA","RM19574","PDT001120016.1","CA"
"water",0,13,"USA","RM19571","PDT001120017.1","CA"
"water",0,9,"USA","RM19569","PDT001120018.1","CA"
"water",5,22,"USA","RM19568","PDT001120019.1","CA"
"water",0,10,"USA","RM19575","PDT001120021.1","CA"
"water",7,9,"USA","RM19522","PDT001120028.1","CA"
"water",6,28,"USA","RM19557","PDT001120030.1","CA"
"water",4,16,"USA","RM19560","PDT001120031.1","CA"
"water",7,9,"USA","RM19564","PDT001120032.1","CA"
"water",0,10,"USA","RM19556","PDT001120033.1","CA"
"water",0,14,"USA","RM19563","PDT001120034.1","CA"
"water",1,32,"USA","RM19558","PDT001120036.1","CA"
"water",0,22,"USA","RM19521","PDT001120041.1","CA"
"water",15,29,"USA","RM19530","PDT001120042.1","CA"
"water",27,32,"USA","RM19531","PDT001120044.1","CA"
"water",24,19,"USA","RM19523","PDT001120046.1","CA"
"water",4,12,"USA","RM19527","PDT001120047.1","CA"
"water",5,7,"USA","RM19524","PDT001120048.1","CA"
"water",13,18,"USA","RM19659","PDT001120049.1","CA"
"water",0,18,"USA","RM19516","PDT001120050.1","CA"
"water",1,27,"USA","RM19515","PDT001120053.1","CA"
"water",0,18,"USA","RM19517","PDT001120054.1","CA"
"water",7,20,"USA","RM19520","PDT001120055.1","CA"
"water",2,29,"USA","RM19514","PDT001120058.1","CA"
"water",0,30,"USA","RM19592","PDT001120059.1","CA"
"water",17,22,"USA","RM19594","PDT001120061.1","CA"
"water",27,31,"USA","RM19583","PDT001120063.1","CA"
"water",2,7,"USA","RM19658","PDT001120064.1","CA"
"water",0,17,"USA","RM19663","PDT001120065.1","CA"
"water",1,3,"USA","RM19660","PDT001120067.1","CA"
"water",5,26,"USA","RM19664","PDT001120068.1","CA"
"water",7,14,"USA","RM19657","PDT001120069.1","CA"
"water",2,14,"USA","RM19581","PDT001120070.1","CA"
"water",5,23,"USA","RM19605","PDT001120071.1","CA"
"water",18,24,"USA","RM19606","PDT001120072.1","CA"
"water",0,20,"USA","RM19587","PDT001120073.1","CA"
"water",0,30,"USA","RM19591","PDT001120074.1","CA"
"water",0,2,"USA","RM19590","PDT001120075.1","CA"
"water",9,7,"USA","RM19584","PDT001120078.1","CA"
"water",0,13,"USA","RM19588","PDT001120079.1","CA"
"water",19,24,"USA","RM19609","PDT001120080.1","CA"
"water",1,24,"USA","RM19604","PDT001120082.1","CA"
"water",4,6,"USA","RM19895","PDT001119825.1","CA"
"water",21,32,"USA","RM19870","PDT001119828.1","CA"
"water",3,19,"USA","RM19356","PDT001119829.1","CA"
"water",4,8,"USA","RM19890","PDT001119830.1","CA"
"water",1,24,"USA","RM19365","PDT001119833.1","CA"
"water",3,26,"USA","RM19364","PDT001119835.1","CA"
"water",11,35,"USA","RM19359","PDT001119837.1","CA"
"water",9,23,"USA","RM19358","PDT001119838.1","CA"
"water",0,22,"USA","RM19345","PDT001119839.1","CA"
"water",4,8,"USA","RM19867","PDT001119840.1","CA"
"water",9,20,"USA","RM19874","PDT001119842.1","CA"
"water",3,20,"USA","RM19868","PDT001119843.1","CA"
"water",7,25,"USA","RM19905","PDT001119844.1","CA"
"water",0,22,"USA","RM19892","PDT001119845.1","CA"
"water",3,15,"USA","RM19362","PDT001119846.1","CA"
"water",2,25,"USA","RM19324","PDT001119850.1","CA"
"water",1,28,"USA","RM19344","PDT001119852.1","CA"
"water",1,18,"USA","RM19360","PDT001119854.1","CA"
"water",0,23,"USA","RM19322","PDT001119859.1","CA"
"water",4,11,"USA","RM19326","PDT001119861.1","CA"
"water",12,12,"USA","RM19325","PDT001119866.1","CA"
"water",4,32,"USA","RM19355","PDT001119867.1","CA"
"water",0,4,"USA","RM19634","PDT001119868.1","CA"
"water",5,17,"USA","RM19321","PDT001119871.1","CA"
"water",18,30,"USA","RM19323","PDT001119873.1","CA"
"water",2,10,"USA","RM19906","PDT001119875.1","CA"
"water",0,16,"USA","RM19642","PDT001119878.1","CA"
"water",1,24,"USA","RM19630","PDT001120097.1","CA"
"water",18,15,"USA","RM18312","PDT001120098.1","CA"
"water",1,8,"USA","RM19632","PDT001120099.1","CA"
"water",0,20,"USA","RM19602","PDT001120100.1","CA"
"water",31,28,"USA","RM18310","PDT001120101.1","CA"
"water",3,5,"USA","RM19599","PDT001120103.1","CA"
"water",1,9,"USA","RM19629","PDT001120104.1","CA"
"water",1,19,"USA","RM19907","PDT001120105.1","CA"
"water",0,4,"USA","RM19633","PDT001120106.1","CA"
"water",3,32,"USA","RM19912","PDT001120108.1","CA"
"water",1,6,"USA","RM17242","PDT001120109.1","CA"
"water",20,34,"USA","RM17238","PDT001120110.1","CA"
"water",4,27,"USA","RM19917","PDT001120111.1","CA"
"water",3,3,"USA","RM19918","PDT001120112.1","CA"
"water",1,21,"USA","RM19908","PDT001120114.1","CA"
"water",30,37,"USA","RM18335","PDT001120115.1","CA"
"water",4,13,"USA","RM19910","PDT001120117.1","CA"
"water",1,20,"USA","RM19909","PDT001120119.1","CA"
"water",27,28,"USA","RM18341","PDT001120122.1","CA"
"water",1,7,"USA","RM19888","PDT001120123.1","CA"
"water",7,26,"USA","RM19578","PDT001120083.1","CA"
"water",0,13,"USA","RM19603","PDT001120084.1","CA"
"water",9,8,"USA","RM19598","PDT001120086.1","CA"
"water",0,9,"USA","RM19586","PDT001120088.1","CA"
"water",1,28,"USA","RM19589","PDT001120090.1","CA"
"water",0,10,"USA","RM19579","PDT001120091.1","CA"
"fish",2,15,"USA","FDA130260-C001-001","PDT001082826.1","AR"
"water",25,29,"USA","RM19353","PDT001119749.1","CA"
"water",3,4,"USA","RM19869","PDT001119752.1","CA"
"dairy",1,16,"USA","21B05607-3","PDT001067647.1","NY"
"dairy",1,26,"USA","AG21-0190","PDT001187567.1","OH"
"dairy",1,25,"USA","AG21-0189","PDT001187569.1","OH"
"dairy",1,26,"USA","AG21-0188","PDT001187570.1","OH"
"dairy",0,1,"USA","PNUSAL013231","PDT001253111.1","MA"
"dairy",1,1,"USA","22-015586","PDT001279637.1","CT"
"dairy",0,3,"USA","22-015593","PDT001279644.1","CT"
"dairy",0,3,"USA","22-015591","PDT001279651.1","CT"
"dairy",0,5,"USA","FDA1196984-S001-001","PDT001374814.1","VT"
"pork",0,11,"USA","FLAG-4437","PDT000473304.1","FL"
"pork",0,11,"USA","FLAG-4438","PDT000473307.1","FL"
"chicken",1,24,"USA","FLAG-4347","PDT000473309.1","FL"
"pork",0,31,"USA","FLAG-4545","PDT000473626.1","FL"
"chicken",2,3,"USA","FLAG-48912","PDT000473629.1","FL"
"avocado",0,34,"USA","FDA1100139-C002-001","PDT000523891.1","CA"
"avocado",0,34,"USA","FDA1100139-C001-001","PDT000523892.1","CA"
"beef",10,38,"USA","19B05683J-7","PDT000541934.1","NY"
"dairy",2,30,"USA","19B05683A-6","PDT000541935.1","NY"
"beef",6,34,"USA","19B05683J-3","PDT000541936.1","NY"
"dairy",6,34,"USA","19B05683A-2","PDT000541937.1","NY"
"dairy",32,33,"USA","19B05997-10","PDT000541944.1","NY"
"dairy",2,30,"USA","19B04345-7","PDT000541945.1","NY"
"dairy",2,30,"USA","19B04345-1","PDT000541949.1","NY"
"dairy",1,0,"USA","LMP18-H8393","PDT000542247.1","GA"
"beef",7,38,"USA","05B09347F-1","PDT000604839.1","NY"
"beef",10,12,"USA","05B09304J-1","PDT000604844.1","NY"
"beef",15,27,"USA","05B09078E-1","PDT000604875.1","NY"
"dairy",23,22,"USA","05B09304G-1","PDT000604878.1","NY"
"fish",1,17,"USA","126-2019-08010026","PDT000610917.1","ME"
"fish",1,18,"USA","126-2019-08010029","PDT000616245.1","ME"
"fish",11,25,"USA","KY-M05619-191009-1","PDT000623977.2","KY"
"beans",1,1,"USA","FDA524837-4","PDT000404905.1","CT"
"beans",1,1,"USA","FDA507439-9","PDT000404908.1","CT"
"beans",3,6,"USA","FDA507439-10","PDT000404910.1","CT"
"beans",2,2,"USA","FDA507439-4","PDT000404911.1","CT"
"beans",0,0,"USA","FDA507438-9","PDT000404913.1","CT"
"beans",0,0,"USA","FDA524837-7","PDT000404914.1","CT"
"beans",2,4,"USA","FDA524837-6","PDT000404920.1","CT"
"beans",2,3,"USA","FDA524837-1","PDT000404923.1","CT"
"beans",0,1,"USA","FDA524837-5","PDT000404925.1","CT"
"beans",0,0,"USA","FDA507439-6","PDT000404927.1","CT"
"beans",0,0,"USA","FDA507439-8","PDT000404929.1","CT"
"beans",0,0,"USA","FDA507438-7","PDT000404934.1","CT"
"beans",2,2,"USA","FDA524837-12","PDT000404935.1","CT"
"beans",3,7,"USA","FDA524839-2","PDT000404941.1","CT"
"beans",0,0,"USA","FDA524839-1","PDT000404942.1","CT"
"beans",0,1,"USA","FDA507439-5","PDT000404943.1","CT"
"beans",0,0,"USA","FDA524837-3","PDT000404946.1","CT"
"beans",1,3,"USA","FDA507438-8","PDT000404948.1","CT"
"beans",3,3,"USA","FDA507439-3","PDT000404950.1","CT"
"beans",1,1,"USA","FDA524840-7","PDT000406667.1","CT"
"beans",1,1,"USA","FDA524840-8","PDT000406668.1","CT"
"beans",3,4,"USA","FDA524838-8","PDT000406672.1","CT"
"beans",0,0,"USA","FDA524838-3","PDT000406700.1","CT"
"beans",0,0,"USA","FDA524838-1","PDT000406706.1","CT"
"beans",2,2,"USA","FDA507443-1b","PDT000406712.1","CT"
"beans",0,0,"USA","FDA507438-2","PDT000406714.1","CT"
"beans",0,1,"USA","FDA524838-10","PDT000406725.1","CT"
"beans",1,2,"USA","FDA524838-2","PDT000406750.1","CT"
"beans",1,2,"USA","FDA524840-9","PDT000406758.1","CT"
"beans",0,2,"USA","FDA507438-3","PDT000406767.1","CT"
"beans",1,1,"USA","FDA524840-10","PDT000406780.1","CT"
"beans",0,0,"USA","FDA524838-6","PDT000406803.1","CT"
"beans",0,0,"USA","FDA524838-5","PDT000406826.1","CT"
"beans",0,0,"USA","FDA524838-9","PDT000406832.1","CT"
"beans",0,1,"USA","FDA524838-7","PDT000406836.1","CT"
"beans",0,1,"USA","FDA524838-4","PDT000406864.1","CT"
"beans",0,0,"USA","FDA507438-4","PDT000406902.1","CT"
"beans",2,2,"USA","FDA507438-6","PDT000406914.1","CT"
"dairy",15,24,"USA","FDA93459","PDT000409354.1","NY"
"dairy",19,10,"USA","FDA254835","PDT000409402.1","NY"
"fish",4,5,"USA","FDA251930-1","PDT000409600.1","NY"
"dairy",0,30,"USA","FDA1072469-C002-001","PDT000409601.1","NY"
"dairy",0,30,"USA","FDA1072469-C002-002","PDT000409715.1","NY"
"fish",4,5,"USA","FDA251930-2","PDT000409772.1","NY"
"fish",8,18,"USA","FDA268424-2","PDT000410180.1","NY"
"fish",5,2,"USA","FDA404922","PDT000410181.1","NY"
"fish",2,5,"USA","FDA327037","PDT000382820.1","USA"
"pork",0,33,"USA","CFSAN022990","PDT000394397.1","IL"
"chicken",16,17,"USA","CFSAN004339","PDT000394403.1","OH"
"beef",0,8,"USA","FLAG-2493","PDT000396771.1","FL"
"fish",0,4,"USA","18FMFO000194-3","PDT000403229.2","MI"
"beef",12,27,"USA","06B05880H-1","PDT000439440.1","NY"
"beef",1,41,"USA","06B05246F-6","PDT000439481.1","NY"
"fish",2,39,"USA","05B08708A-1","PDT000434307.1","NY"
"fish",0,6,"USA","19B01573-3","PDT000480876.1","NY"
"chicken",26,27,"USA","FDA913939-C001-003","PDT000487054.1","NJ"
"beef",6,10,"USA","FDA617159-2","PDT000487920.1","ME"
"beef",3,24,"USA","19B01482D-6","PDT000478528.1","NY"
"fish",0,6,"USA","19B01573-7","PDT000478530.1","NY"
"beef",1,22,"USA","19B01482D-5","PDT000478565.1","NY"
"beef",13,14,"USA","07B04613F-5","PDT000579125.1","NY"
"water",2,2,"USA","RM50508","PDT000657017.1","CA"
"water",0,10,"USA","RM50504","PDT000656808.1","CA"
